Form,Strength,DrugName
Solution/Drops/Ophthalmic,1%,Paredrine
Tablet/Oral,500MG,Sulfapyridine
Injectable/Injection,"20,000 UNITS/ML",Liquaemin Sodium
Injectable/Injection,"40,000 UNITS/ML",Liquaemin Sodium
Injectable/Injection,"5,000 UNITS/ML",Liquaemin Sodium
Injectable/Injection,"1,000 UNITS/ML",Liquaemin Sodium
Injectable/Injection,"10,000 UNITS/ML",Liquaemin Sodium
Injectable/Injection,100 UNITS/ML,Liquaemin Lock Flush
Injectable/Injection,"1,000 UNITS/ML",Heparin Sodium
Injectable/Injection,"5,000 UNITS/ML",Heparin Sodium
Injectable/Injection,"10,000 UNITS/ML",Heparin Sodium
Injectable/Injection,"1,000 UNITS/ML",Liquaemin Sodium Preservative Free
Injectable/Injection,"5,000 UNITS/ML",Liquaemin Sodium Preservative Free
Injectable/Injection,"10,000 UNITS/ML",Liquaemin Sodium Preservative Free
Injectable/Injection,EQ 1MG BASE/ML,Histamine Phosphate
Injectable/Injection,EQ 0.2MG BASE/ML,Histamine Phosphate
Injectable/Injection,EQ 0.1MG BASE/ML,Histamine Phosphate
Tablet/Oral,15MG,Butisol Sodium
Tablet/Oral,50MG,Butisol Sodium
Tablet/Oral,30MG,Butisol Sodium
Tablet/Oral,100MG,Butisol Sodium
Injectable/Injection,5MG/ML,Doca
Tablet/Oral,125MG,Guanidine Hydrochloride
Tablet/Oral,5MG,Menadione
Tablet/Oral,65MG,Proloid
Tablet/Oral,325MG,Proloid
Tablet/Oral,32MG,Proloid
Tablet/Oral,200MG,Proloid
Tablet/Oral,100MG,Proloid
Tablet/Oral,16MG,Proloid
Tablet/Oral,130MG,Proloid
Injectable/Injection,100MG/ML,Inulin And Sodium Chloride
Tablet/Oral,100MG,Aminophyllin
Tablet/Oral,200MG,Aminophyllin
Powder/Topical,33.32%,Bensulfoid
Tablet/Oral,10MG,Oreton Methyl
Tablet/Oral,25MG,Oreton Methyl
"Tablet/Buccal, Sublingual",10MG,Metandren
"Tablet/Buccal, Sublingual",25MG,Metandren
"Tablet/Buccal, Sublingual",5MG,Metandren
"Tablet/Buccal, Sublingual",10MG,Metandren
Injectable/Injection,5PRESSOR,Pitressin Tannate
Capsule/Oral,"50,000 IU",Drisdol
Injectable/Injection,5MG/ML,Synkayvite
Injectable/Injection,10MG/ML,Synkayvite
